ID,档位,类型,主题,需明确同意,来源,题目
v9-t1-0014,轻松,真心话,轻松表达,否,v9-expansion,如果今天是一种颜色，会是什么颜色？
v9-t1-0015,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于突然放假的一天的记忆，你会选哪一次？
v9-t1-0016,轻松,真心话,日常偏好,否,v9-expansion,关于临时放假，你最想尝试的一个新变化是什么？
v9-t1-0017,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种守时？
v9-t1-0018,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种动物沟通能力，你希望具体是什么？
v9-t1-0019,轻松,真心话,轻松表达,否,v9-expansion,你最喜欢和朋友一起完成哪类事情？
v9-t1-0020,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次朋友聚会发生在哪里？
v9-t1-0021,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和朋友聚会有关的习惯，你会保留什么？
v9-t1-0022,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的行动力时，你会觉得加分吗？
v9-t1-0023,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种生活技能，你希望具体是什么？
v9-t1-0024,轻松,真心话,轻松表达,否,v9-expansion,你最近一次主动夸奖别人是什么时候？
v9-t1-0025,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次收到意外礼物发生在哪里？
v9-t1-0026,轻松,真心话,日常偏好,否,v9-expansion,关于节日，你最想尝试的一个新变化是什么？
v9-t1-0027,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种松弛感？
v9-t1-0028,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和快速入睡能力有关的项目，你会选什么？
v9-t1-0029,轻松,真心话,轻松表达,否,v9-expansion,你最喜欢别人用什么方式邀请你参加活动？
v9-t1-0030,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次独自解决一个问题发生在哪里？
v9-t1-0031,轻松,真心话,日常偏好,否,v9-expansion,关于独处时间，你最想尝试的一个新变化是什么？
v9-t1-0032,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种好奇心？
v9-t1-0033,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种舞台技能，你希望具体是什么？
v9-t1-0034,轻松,真心话,轻松表达,否,v9-expansion,你最近最想推荐给大家的一样东西是什么？
v9-t1-0035,轻松,真心话,快乐记忆,否,v9-expansion,关于完成一个小目标，你最想感谢当时的谁？
v9-t1-0036,轻松,真心话,日常偏好,否,v9-expansion,你理想中的临时放假是什么样？
v9-t1-0037,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种照顾气氛的能力？
v9-t1-0038,轻松,真心话,想象选择,否,v9-expansion,如果能把一种绘画能力提升到专业水平，你会选哪一种？
v9-t1-0039,轻松,真心话,轻松表达,否,v9-expansion,你最想收到哪种不贵但很用心的礼物？
v9-t1-0040,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次认识新朋友发生在哪里？
v9-t1-0041,轻松,真心话,日常偏好,否,v9-expansion,你理想中的运动是什么样？
v9-t1-0042,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种幽默感？
v9-t1-0043,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和旅行方式有关的项目，你会选什么？
v9-t1-0044,轻松,真心话,轻松表达,否,v9-expansion,你最想把哪一种小快乐变成每周固定安排？
v9-t1-0045,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于吃到特别好吃的东西的记忆，你会选哪一次？
v9-t1-0046,轻松,真心话,日常偏好,否,v9-expansion,你理想中的节日是什么样？
v9-t1-0047,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种观察力？
v9-t1-0048,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种绘画能力，你希望具体是什么？
v9-t1-0049,轻松,真心话,轻松表达,否,v9-expansion,你觉得自己最像哪一种甜品或饮料？
v9-t1-0050,轻松,真心话,快乐记忆,否,v9-expansion,关于被人认真夸奖，你最想感谢当时的谁？
v9-t1-0051,轻松,真心话,日常偏好,否,v9-expansion,关于周末安排，你最想尝试的一个新变化是什么？
v9-t1-0052,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在计划突然变化时第一个站出来？为什么？
v9-t1-0053,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种语言，你希望具体是什么？
v9-t1-0054,轻松,真心话,轻松表达,否,v9-expansion,你手机相册里最多的是哪一类照片？
v9-t1-0055,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于被陌生人帮助的记忆，你会选哪一次？
v9-t1-0056,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和听歌习惯有关的习惯，你会保留什么？
v9-t1-0057,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的表达能力时，你会觉得加分吗？
v9-t1-0058,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习创作能力，你会怎么安排？
v9-t1-0059,轻松,真心话,轻松表达,否,v9-expansion,你觉得自己最适合哪一种天气？
v9-t1-0060,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次朋友聚会最让你开心？
v9-t1-0061,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和周末安排有关的习惯，你会保留什么？
v9-t1-0062,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种乐观？
v9-t1-0063,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种记忆力，你希望具体是什么？
v9-t1-0064,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次收到意外礼物最让你开心？
v9-t1-0065,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和居家休息有关的习惯，你会保留什么？
v9-t1-0066,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的照顾气氛的能力时，你会觉得加分吗？
v9-t1-0067,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和整理能力有关的项目，你会选什么？
v9-t1-0068,轻松,真心话,快乐记忆,否,v9-expansion,关于临时旅行，你最想感谢当时的谁？
v9-t1-0069,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和旅行计划有关的习惯，你会保留什么？
v9-t1-0070,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种观察力？
v9-t1-0071,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习动物沟通能力，你会怎么安排？
v9-t1-0072,轻松,真心话,快乐记忆,否,v9-expansion,关于看完一场演出，你最想感谢当时的谁？
v9-t1-0073,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和收纳有关的习惯，你会保留什么？
v9-t1-0074,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在大家陷入冷场时第一个站出来？为什么？
v9-t1-0075,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习手艺，你会怎么安排？
v9-t1-0076,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次完成一次整理最让你开心？
v9-t1-0077,轻松,真心话,日常偏好,否,v9-expansion,你理想中的旅行计划是什么样？
v9-t1-0078,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种倾听能力？
v9-t1-0079,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和超能力有关的项目，你会选什么？
v9-t1-0080,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次完成一个小目标最让你开心？
v9-t1-0081,轻松,真心话,日常偏好,否,v9-expansion,你在临时放假上最有仪式感的做法是什么？
v9-t1-0082,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种创造力？
v9-t1-0083,轻松,真心话,想象选择,否,v9-expansion,如果能把一种语言提升到专业水平，你会选哪一种？
v9-t1-0084,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次吃到特别好吃的东西发生在哪里？
v9-t1-0085,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和拍照有关的习惯，你会保留什么？
v9-t1-0086,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的耐心时，你会觉得加分吗？
v9-t1-0087,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和讲故事能力有关的项目，你会选什么？
v9-t1-0088,轻松,真心话,快乐记忆,否,v9-expansion,关于吃到特别好吃的东西，你最想感谢当时的谁？
v9-t1-0089,轻松,真心话,日常偏好,否,v9-expansion,你理想中的起床后的十分钟是什么样？
v9-t1-0090,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种可靠感？
v9-t1-0091,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和生活技能有关的项目，你会选什么？
v9-t1-0092,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次看完一场演出发生在哪里？
v9-t1-0093,轻松,真心话,日常偏好,否,v9-expansion,你在收纳上最有仪式感的做法是什么？
v9-t1-0094,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的守时时，你会觉得加分吗？
v9-t1-0095,轻松,真心话,想象选择,否,v9-expansion,如果能把一种户外活动提升到专业水平，你会选哪一种？
v9-t1-0096,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次下班后的夜晚发生在哪里？
v9-t1-0097,轻松,真心话,日常偏好,否,v9-expansion,你在独处时间上最有仪式感的做法是什么？
v9-t1-0098,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的好奇心时，你会觉得加分吗？
v9-t1-0099,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习生活技能，你会怎么安排？
v9-t1-0100,轻松,真心话,快乐记忆,否,v9-expansion,关于帮助别人，你最想感谢当时的谁？
v9-t1-0101,轻松,真心话,日常偏好,否,v9-expansion,你在居家休息上最有仪式感的做法是什么？
v9-t1-0102,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种真诚？
v9-t1-0103,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习烹饪能力，你会怎么安排？
v9-t1-0104,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于下班后的夜晚的记忆，你会选哪一次？
v9-t1-0105,轻松,真心话,日常偏好,否,v9-expansion,关于拍照，你最想尝试的一个新变化是什么？
v9-t1-0106,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的幽默感时，你会觉得加分吗？
v9-t1-0107,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和创作能力有关的项目，你会选什么？
v9-t1-0108,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次和家人相处最让你开心？
v9-t1-0109,轻松,真心话,日常偏好,否,v9-expansion,你理想中的购物是什么样？
v9-t1-0110,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的边界感时，你会觉得加分吗？
v9-t1-0111,轻松,真心话,想象选择,否,v9-expansion,如果能把一种社交能力提升到专业水平，你会选哪一种？
v9-t1-0112,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于收到意外礼物的记忆，你会选哪一次？
v9-t1-0113,轻松,真心话,日常偏好,否,v9-expansion,你理想中的下雨天是什么样？
v9-t1-0114,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种创造力？
v9-t1-0115,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种讲故事能力，你希望具体是什么？
v9-t1-0116,轻松,真心话,快乐记忆,否,v9-expansion,关于买到期待很久的东西，你最想感谢当时的谁？
v9-t1-0117,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和下雨天有关的习惯，你会保留什么？
v9-t1-0118,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在有人需要帮助时第一个站出来？为什么？
v9-t1-0119,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和方向感有关的项目，你会选什么？
v9-t1-0120,轻松,真心话,快乐记忆,否,v9-expansion,关于被陌生人帮助，你最想感谢当时的谁？
v9-t1-0121,轻松,真心话,日常偏好,否,v9-expansion,你理想中的拍照是什么样？
v9-t1-0122,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种边界感？
v9-t1-0123,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种乐器，你希望具体是什么？
v9-t1-0124,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次和家人相处发生在哪里？
v9-t1-0125,轻松,真心话,日常偏好,否,v9-expansion,你在购物上最有仪式感的做法是什么？
v9-t1-0126,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在有人情绪低落时第一个站出来？为什么？
v9-t1-0127,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习绘画能力，你会怎么安排？
v9-t1-0128,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次认识新朋友最让你开心？
v9-t1-0129,轻松,真心话,日常偏好,否,v9-expansion,你在旅行计划上最有仪式感的做法是什么？
v9-t1-0130,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种照顾气氛的能力？
v9-t1-0131,轻松,真心话,想象选择,否,v9-expansion,如果能把一种烹饪能力提升到专业水平，你会选哪一种？
v9-t1-0132,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次下班后的夜晚最让你开心？
v9-t1-0133,轻松,真心话,日常偏好,否,v9-expansion,你在朋友聚会上最有仪式感的做法是什么？
v9-t1-0134,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在需要组织活动时第一个站出来？为什么？
v9-t1-0135,轻松,真心话,想象选择,否,v9-expansion,如果能把一种摄影能力提升到专业水平，你会选哪一种？
v9-t1-0136,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于完成一个小目标的记忆，你会选哪一次？
v9-t1-0137,轻松,真心话,日常偏好,否,v9-expansion,你理想中的居家休息是什么样？
v9-t1-0138,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在大家意见不一致时第一个站出来？为什么？
v9-t1-0139,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习记忆力，你会怎么安排？
v9-t1-0140,轻松,真心话,快乐记忆,否,v9-expansion,关于认识新朋友，你最想感谢当时的谁？
v9-t1-0141,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和做饭有关的习惯，你会保留什么？
v9-t1-0142,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的创造力时，你会觉得加分吗？
v9-t1-0143,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习语言，你会怎么安排？
v9-t1-0144,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次突然放假的一天发生在哪里？
v9-t1-0145,轻松,真心话,日常偏好,否,v9-expansion,你在节日上最有仪式感的做法是什么？
v9-t1-0146,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的可靠感时，你会觉得加分吗？
v9-t1-0147,轻松,真心话,想象选择,否,v9-expansion,如果能把一种创作能力提升到专业水平，你会选哪一种？
v9-t1-0148,轻松,真心话,快乐记忆,否,v9-expansion,关于收到意外礼物，你最想感谢当时的谁？
v9-t1-0149,轻松,真心话,日常偏好,否,v9-expansion,关于睡前时间，你最想尝试的一个新变化是什么？
v9-t1-0150,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的倾听能力时，你会觉得加分吗？
v9-t1-0151,轻松,真心话,想象选择,否,v9-expansion,如果能把一种方向感提升到专业水平，你会选哪一种？
v9-t1-0152,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于独自解决一个问题的记忆，你会选哪一次？
v9-t1-0153,轻松,真心话,日常偏好,否,v9-expansion,你在看电影上最有仪式感的做法是什么？
v9-t1-0154,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种耐心？
v9-t1-0155,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习乐器，你会怎么安排？
v9-t1-0156,轻松,真心话,快乐记忆,否,v9-expansion,关于第一次尝试新事物，你最想感谢当时的谁？
v9-t1-0157,轻松,真心话,日常偏好,否,v9-expansion,关于生日，你最想尝试的一个新变化是什么？
v9-t1-0158,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种表达能力？
v9-t1-0159,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种旅行方式，你希望具体是什么？
v9-t1-0160,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次帮助别人发生在哪里？
v9-t1-0161,轻松,真心话,日常偏好,否,v9-expansion,你理想中的睡前时间是什么样？
v9-t1-0162,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的松弛感时，你会觉得加分吗？
v9-t1-0163,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种方向感，你希望具体是什么？
v9-t1-0164,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于帮助别人的记忆，你会选哪一次？
v9-t1-0165,轻松,真心话,日常偏好,否,v9-expansion,你在运动上最有仪式感的做法是什么？
v9-t1-0166,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种幽默感？
v9-t1-0167,轻松,真心话,想象选择,否,v9-expansion,如果能把一种整理能力提升到专业水平，你会选哪一种？
v9-t1-0168,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次被陌生人帮助发生在哪里？
v9-t1-0169,轻松,真心话,日常偏好,否,v9-expansion,你理想中的看电影是什么样？
v9-t1-0170,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种真诚？
v9-t1-0171,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和运动有关的项目，你会选什么？
v9-t1-0172,轻松,真心话,快乐记忆,否,v9-expansion,关于独自解决一个问题，你最想感谢当时的谁？
v9-t1-0173,轻松,真心话,日常偏好,否,v9-expansion,你理想中的夏天是什么样？
v9-t1-0174,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种细心？
v9-t1-0175,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和摄影能力有关的项目，你会选什么？
v9-t1-0176,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次看到漂亮风景最让你开心？
v9-t1-0177,轻松,真心话,日常偏好,否,v9-expansion,你在做饭上最有仪式感的做法是什么？
v9-t1-0178,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种细心？
v9-t1-0179,轻松,真心话,想象选择,否,v9-expansion,如果能把一种乐器提升到专业水平，你会选哪一种？
v9-t1-0180,轻松,真心话,快乐记忆,否,v9-expansion,关于生日，你最想感谢当时的谁？
v9-t1-0181,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和睡前时间有关的习惯，你会保留什么？
v9-t1-0182,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种行动力？
v9-t1-0183,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和记忆力有关的项目，你会选什么？
v9-t1-0184,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次第一次尝试新事物最让你开心？
v9-t1-0185,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和临时放假有关的习惯，你会保留什么？
v9-t1-0186,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在需要做决定时第一个站出来？为什么？
v9-t1-0187,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种整理能力，你希望具体是什么？
v9-t1-0188,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次拍到满意的照片最让你开心？
v9-t1-0189,轻松,真心话,日常偏好,否,v9-expansion,关于短途出行，你最想尝试的一个新变化是什么？
v9-t1-0190,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种好奇心？
v9-t1-0191,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和手艺有关的项目，你会选什么？
v9-t1-0192,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于临时旅行的记忆，你会选哪一次？
v9-t1-0193,轻松,真心话,日常偏好,否,v9-expansion,关于购物，你最想尝试的一个新变化是什么？
v9-t1-0194,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的真诚时，你会觉得加分吗？
v9-t1-0195,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和户外活动有关的项目，你会选什么？
v9-t1-0196,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于第一次尝试新事物的记忆，你会选哪一次？
v9-t1-0197,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和逛街有关的习惯，你会保留什么？
v9-t1-0198,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种行动力？
v9-t1-0199,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种社交能力，你希望具体是什么？
v9-t1-0200,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于完成一次整理的记忆，你会选哪一次？
v9-t1-0201,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和起床后的十分钟有关的习惯，你会保留什么？
v9-t1-0202,轻松,真心话,社交观察,否,v9-expansion,你最欣赏朋友身上的哪种边界感？
v9-t1-0203,轻松,真心话,想象选择,否,v9-expansion,如果能把一种讲故事能力提升到专业水平，你会选哪一种？
v9-t1-0204,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次被陌生人帮助最让你开心？
v9-t1-0205,轻松,真心话,日常偏好,否,v9-expansion,关于起床后的十分钟，你最想尝试的一个新变化是什么？
v9-t1-0206,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的细心时，你会觉得加分吗？
v9-t1-0207,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和烹饪能力有关的项目，你会选什么？
v9-t1-0208,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次生日发生在哪里？
v9-t1-0209,轻松,真心话,日常偏好,否,v9-expansion,关于早餐，你最想尝试的一个新变化是什么？
v9-t1-0210,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种守时？
v9-t1-0211,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和动物沟通能力有关的项目，你会选什么？
v9-t1-0212,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次吃到特别好吃的东西最让你开心？
v9-t1-0213,轻松,真心话,日常偏好,否,v9-expansion,关于听歌习惯，你最想尝试的一个新变化是什么？
v9-t1-0214,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种表达能力？
v9-t1-0215,轻松,真心话,想象选择,否,v9-expansion,如果可以免费体验一次和社交能力有关的项目，你会选什么？
v9-t1-0216,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于和家人相处的记忆，你会选哪一次？
v9-t1-0217,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和冬天有关的习惯，你会保留什么？
v9-t1-0218,轻松,真心话,社交观察,否,v9-expansion,现场谁最可能在遇到突发状况时第一个站出来？为什么？
v9-t1-0219,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种户外活动，你希望具体是什么？
v9-t1-0220,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次拍到满意的照片发生在哪里？
v9-t1-0221,轻松,真心话,日常偏好,否,v9-expansion,关于运动，你最想尝试的一个新变化是什么？
v9-t1-0222,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的乐观时，你会觉得加分吗？
v9-t1-0223,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习超能力，你会怎么安排？
v9-t1-0224,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于拍到满意的照片的记忆，你会选哪一次？
v9-t1-0225,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和运动有关的习惯，你会保留什么？
v9-t1-0226,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种可靠感？
v9-t1-0227,轻松,真心话,想象选择,否,v9-expansion,如果能把一种运动提升到专业水平，你会选哪一种？
v9-t1-0228,轻松,真心话,快乐记忆,否,v9-expansion,你印象最深的一次买到期待很久的东西发生在哪里？
v9-t1-0229,轻松,真心话,日常偏好,否,v9-expansion,你在拍照上最有仪式感的做法是什么？
v9-t1-0230,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种耐心？
v9-t1-0231,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习旅行方式，你会怎么安排？
v9-t1-0232,轻松,真心话,快乐记忆,否,v9-expansion,过去一年里，哪一次突然放假的一天最让你开心？
d101,轻松,大冒险,历史题库,否,v8,用三种不同情绪说一遍自己的名字。
d102,轻松,大冒险,历史题库,否,v8,模仿一种动物，直到有人猜中。
d103,轻松,大冒险,历史题库,否,v8,用播音员语气介绍现场所有玩家。
d104,轻松,大冒险,历史题库,否,v8,摆出一个夸张的杂志封面姿势，坚持十秒。
d105,轻松,大冒险,历史题库,否,v8,用方言或自创口音说一句欢迎词。
